# File Name               Expansion   Class Type   Class Name   Card Name   Card #   Printflag
rv-kelo-front.png,        core,       xxxxx,       xxxxx,       kelo,       a-013,   1
rv-saras-back.png,        core,       xxxxx,       xxxxx,       saras,      a-013,   1
rv-ozendyn-front-1.png,   core,       xxxxx,       xxxxx,       ozendyn,    a-014,   1
rv-ozendyn-back-1.png,    core,       xxxxx,       xxxxx,       ozendyn,    a-014,   1
rv-ozendyn-front-2.png,   core,       xxxxx,       xxxxx,       ozendyn,    a-015,   1
rv-ozendyn-back-2.png,    core,       xxxxx,       xxxxx,       ozendyn,    a-015,   1
rv-zeepurah-front.png,    core,       xxxxx,       xxxxx,       zeepurah,   a-012,   1
rv-zeepurah-back.png,     core,       xxxxx,       xxxxx,       zeepurah,   a-012,   1
rv-hra-front.png,         xulc,       xxxxx,       xxxxx,       hra,        a-024,   1
rv-hra-back.png,          xulc,       xxxxx,       xxxxx,       hra,        a-024,   1
